id,name_si
956,ඉහළගම
957,ඉඹුලාන
958,ඉඹුල්ගස්දෙණිය
959,කබගමුව
960,කහපත්වල
961,කන්දකැටිය
962,කන්නත්තොට
963,කරගහහින්න
964,කෑගල්ල
965,කෙහෙල්පන්නල
966,කැටවල ලෙව්ල
967,කිතුල්ගල
968,කොන්ඩෙනිය
969,කොටියාකුඹුර
970,ලෙවන්ගම
971,මහබාගේ
972,මාකෙහෙල්වල
973,මලල්පොල
974,මල්දෙණිය
975,මාලිබොඩ
976,මාලියද්ද
977,මල්මඩුව
978,මාරපන
979,මාවනැල්ල
980,මීටන්වල
981,මිගස්තැන්න සබර
982,මියනවිට
983,මොලගොඩ
984,මොරොන්තොට
985,නාරංගල
986,නාරංගොඩ
987,නට්ටාරම්පොත
988,නෙලුන්දෙනිය
989,නියදුරුපොළ
990,නූරි
991,පන්නිල
992,පට්ටම්පිටිය
993,පිලවල
994,පොතුකොලදෙණිය
995,පුස්වැලිතැන්න
996,රඹුක්කන
997,රිල්පොල
998,රුක්මලේ
999,රුවන්වැල්ල
1000,සමනලවැව
1001,සීෆෝර්ත් ජනපදය
1002,කොළඹ 2
1003,වසන්ත නිම්නය
1004,තල්ගස්පිටිය
1005,තෙලිගම
1006,තෝලංගමුව
1007,තොටවැල්ල
1008,උඩහ හවුපේ
1009,උඩපොත
1010,උඩුව
1011,උඳුගොඩ
1012,උස්සපිටිය
1013,වහකුල
1014,වහරක
1015,වනළුවැව
1016,වරකාපොල
1017,වතුර
1018,වී ඔය
1019,වෑගල්ල
1020,වැලිගල්ල
1021,වැලිහෙලතැන්න
1022,වේවැල්වත්ත
1023,යටගම
1024,යටපාන
1025,යටියන්තොට
1026,යට්ටෝගොඩ
1027,කණ්ඩාවලයි
1028,කරච්චි
1029,කිළිනොච්චි
1030,පච්චිලෙයිපල්ලි
1031,පූනකරි
1032,අකුරණ
1033,අලහෙන්ගම
1034,අලහිටියාව
1035,අඹකොටේ
1036,අඹන්පොල
1037,ආඬියාගල
1038,අනුක්කනේ
1039,අරංගොඩ
1040,අටරගල්ල
1041,අවුලේගම
1042,බලල්ල
1043,බමුණකොටුව
1044,බන්ඩාර කොස්වත්ත
1045,බින්ගිරිය
1046,බෝගමුල්ල
1047,බොරළුවැව
1048,බෝයගානෙ
1049,බුජ්ජෝමුව
1050,බුලුවල
1051,දඩයම්තලාව
1052,දඹදෙණිය
1053,දරලුව
1054,දීගල්ල
1055,දෙමටලුව
1056,දෙමුවත
1057,දෙණියාය
1058,දිගන්නෑව
1059,දිවුලේගොඩ
1060,දියසෙන්පුර
1061,දොඩන්ගස්ලන්ද
1062,දොළුව
1063,දොරගමුව
1064,දොරටියාව
1065,දුනුමඩවල
1066,දුනුවිලපිටිය
1067,ඇහැටුවැව
1068,ඇලිබිච්චිය
1069,එම්බෝගම
1070,ඇතුන්ගහකොටුව
1071,ගලදිවුල්වැව
1072,ගල්ගමුව
1073,ගල්ලෑල්ලගම
1074,ගල්ලෑව
1075,ගණේගොඩ
1076,ගිරාතලන
1077,ගොකරුල්ල
1078,ගොනාවිල
1079,හල්මිල්ලවැව
1080,හඳුන්ගමුව
1081,හරන්කහව
1082,හෙළමඩය
1083,හේන්ගමුව
1084,හෙට්ටිපොල
1085,හේවායින්න
1086,හිලෝගම
1087,හිඳගොල්ල
1088,හිරියාල ලේනාව
1089,හිරුවල්පොල
1090,හොරඹාව
1091,හුලොගෙදර
1092,හුළුගල්ල
1093,ඉහළ ගොමුගොමුව
1094,ඉහළ කටුගම්පල
1095,ඉඳුල්ගොඩකන්ද
1096,ඉතනවත්ත
1097,කඩිගාව
1098,කලංකුට්ටිය
1099,කලටුවාව
1100,කළුගමුව
1101,කනදෙණියවල
1102,කනත්තවැව
1103,කන්දේගෙදර
1104,කරගහගෙදර
1105,කරඹේ
1106,කටියාව
1107,කටුපොත
1108,කවුඩුල්ල
1109,කවුඩුළුවැව ස්ටැගල්
1110,කැකුනගොල්ල
1111,කැප්පෙටිවලාන
1112,කිඹුල්වානඔය
1113,කිරිමැටියාව
1114,කිරින්දෑව
1115,කිරිඳිගොල්ල
1116,කිතලෑව
1117,කිතුල්වල
1118,කොබෙයිගනේ
1119,කොහිලගෙදර
1120,කොන්වැව
