Index,Sinhala Comment
158,හර්ෂණලට තිබ්බේ කලින් ආණ්ඩු කරන කාලේ තම තමන් ගත්ත ණය තම තමන් ගෙවාගෙන ජාතික ජන බළවේයට ලෝන් සීරෝ රටක් දෙන්න මුං නිකං මැරිලා ඉපදිලා වගේනේ කතාව යකෝ තාත්තා ණය අරං බංකොලෙත් වෙච්ච රටක් පොඩ්පුතා භාරගත්තම හා දැං ණය ගන්න බෑ කියලා පොර ටෝක් දෙන්න තාත්තට පුළුවන්ද තාත්තට පුළුවන් බල්ලෙක් වගේ පුතා යමක් කරනකං බලං ඉන්න මම හිතන්නේ නෑ රෙද්දක් ඇඳගෙන ඉන්න එකෙක්ට පුළුවන් කියලා මේ පොර ටෝක් දෙන්න මුන්ට ලැජ්ජාවක් නෑ හිරිකිතයක් නෑලැජ්ජයි යකෝ මේ කෙලින්න පුළුවන් ඔක්කොම කෙලලා තව ලැජ්ජා නැතුව ටෝක් දෙනවනේ අඬපල්ලා
159,හර්ෂණලට තිබ්බේ කලින් ආණ්ඩු කරන කාලේ තම තමන් ගත්ත ණය තම තමන් ගෙවාගෙන ජාතික ජන බළවේයට ලෝන් සීරෝ රටක් දෙන්න මුං නිකං මැරිලා ඉපදිලා වගේනේ කතාව යකෝ තාත්තා ණය අරං බංකොලෙත් වෙච්ච රටක් පොඩ්පුතා භාරගත්තම හා දැං ණය ගන්න බෑ කියලා පොර ටෝක් දෙන්න තාත්තට පුළුවන්ද තාත්තට පුළුවන් බල්ලෙක් වගේ පුතා යමක් කරනකං බලං ඉන්න මම හිතන්නේ නෑ රෙද්දක් ඇඳගෙන ඉන්න එකෙක්ට පුළුවන් කියලා මේ පොර ටෝක් දෙන්න මුන්ට ලැජ්ජාවක් නෑ හිරිකිතයක් නෑලැජ්ජයි යකෝ මේ කෙලින්න පුළුවන් ඔක්කොම කෙලලා තව ලැජ්ජා නැතුව ටෝක් දෙනවනේ අඬපල්ලා
160,හි හි කෝට් ඇඳලා බිල්ලෝ වගේ හිරවෙලා බෙට්ට හිරවෙලා වගේ කෙඳිරි ගාන විදිය ඊලඟ ඡන්දේ එන්පීපී එකටත් මෙහෙම හෙලිවැල්ලෙන් ඉන්න නොවේවා කියලා තමයි අපි ප්රාර්ථනා කරන්නේ
161,හර්ශන අයිස් ගහල ඉන්නේ
162,හර්ශන රාජකරුනා කියන්නෙ හද්ද බූරුවෙක්
163,පොහොට්ටුවේ එකා මරු දන්න මිනිස්සු ගේන්නලු ජනතාව දැනගන්න ඕනලු තමන්ගේ නියෝජිතයා හැබැයි රට ඇත්තටම හදන්නනං ගේන්නලු අළුත් මිනිස්සු ටිකක්
164,ගොන් කුට්ටි අරච්චියයව ගෙන්නන්නකෝ
165,එන්න කියල චාටර් කරල ගෙදර යවනව හොද වැඩේ හොරු තුන් දෙනාට
166,බොහෝ කලක් ඉවසීමෙන් බලන් හිටි දියුණු රටක් අනාගතයේ ඉදිරි පරපුරට ලබා දෙන්නට තව බොහො කලක් ගත නොවේවී සමස්ථ පුරවැසි දේශපාලන ආකල්ප ඉතාමත් තර්කානුකූල ලෙස හා බුද්ධිමත් අකාරයට හරියට හදලා රට නව දිශාවට ගෙනියන්න කරන මේ සංවාදය නව රජයට බොහෝ උපකාර වේවා සිරසට බොහොම ස්තූති වේවා
167,මහමැතිවරණයේදී අසමගි ජනබලවේගය හෝදලදානවා ගම්පහ බුද්දිමත් ජනතාව
168,අපිහොදට හොයලබලල තමයි හොදනායකයෙක් පත්කෙරැවේ එවගේම හොද පාර්ලිමෙන්තුවක් හදන්න හොදමිනිස්සු ටිකක් යවමු
169,අක්කේ උබ ප්රවෘත්ති විතරක් කියන් පාඩුවේ ඉදපන්උබට ඕවා සෙට්වෙන්නේ නැහැ බන්
170,ජාතිකජනබල වේගයේ මමබියගම ආසනයේ අපිදන්නවා බියගමට හොදබුද්ධිමත් අවංකනායකයෙක් ලබිලතියෙනව
171,සිරස මාධ්යවේදීන් නියමයි දිගටම මේ විදියට කරගෙන යන්න මිනිසුන් ලංකාවේ ඇත්ත තත්ත්වය තේරුම් ගනීවි මේ වැඩසටහන අනුව සිරසට ජය මාලිමාවට ජය
172,කව්ද මේ මනෝජ් ගමගේ කියන රාජපක්ෂලගේ වලන් හෝදන බූරුවාමේ පාර පාර්ලිමේන්තු එවන්න නම් එපා මේ වගේ ගෝතයන්ව
173,සුරංග නලින්ද
174,ජය මාලිමාවට
175,රජපක්ශලා හොරාකවා කියලා රටේ මිනිස්සු දන්නවා තෝපිව ඔඅර්ලිමෙන්තු යෞවොත් උන් මිහරක්
176,මලිමවට ජය වෙවා
177,සුරංග මම සටන බලන්නේ ඔබ නිසා මාලිමාවට ජයවේවා
178,යකෝ තම දවස් කියද ආන්ඩුව අරගෙන බලගන ඉදිල්ලා
179,ජනතාරජයක් බිහිකිරීමට සහයදුන් සිරස ඔබලා සියලුදෙනාට බොහොම ස්තුතියි
180,රාජපක්ස හොර හැත්ත පොහොට්ටුව නැත්තටම නැති කරමු
181,ජාතිකජනබල වේගයට ජයවේවා සමගියදැන් අසමගියවෙලා ඡන්දෙන් පස්සේ හේදීලා යනවා
